epoch,train_loss,F1 Score,Sensitivity,Specifity,Accuracy,AUC-ROC,Mean-IOU
1,0.158827,0.140555,0.510414,0.662471,0.654044,0.529626,0.07559
2,0.154505,0.139192,0.453385,0.703034,0.689198,0.485791,0.074802
3,0.153737,0.236542,0.420604,0.874687,0.84952,0.486823,0.134135
4,0.153079,0.215476,0.422659,0.853289,0.829422,0.488794,0.120747
5,0.152692,0.221515,0.427035,0.857503,0.833645,0.501611,0.124553
6,0.152434,0.242717,0.401555,0.888089,0.861123,0.491813,0.13812
7,0.15217,0.21277,0.419461,0.851938,0.827969,0.485645,0.11905
